id,image,name,team,edition,ability,firstNightReminder,otherNightReminder,reminders,remindersGlobal,firstNight,otherNight,flavor,note
allan_barbieontheclocktower123dgeewes,,엘런,townsfolk,barbie,당신과 이웃한 가장 가까운 켄들은 당신과 그들 사이에 악팀이 있지 않는 한 죽을 수 없습니다.,,,보호됨,,,,,
anotherken_barbieontheclocktower123dgeewes,,또 다른 켄,townsfolk,barbie,"게임 중 한번, 한 캐릭터를 골라 뜨거운 해변가에서의 승부를 벌입니다. 해당 참가자가 악팀이라면 사망하며, 선 참가자라면 당신이 사망합니다.","능력을 사용할지 물어보세요. 사용하길 원한다면, 참가자 한 명을 선택하도록 합니다. 다른 정보는 알려주지 마세요. 선한 참가자를 선택했다면, 그들은 밤에 죽습니다. 악한 참가자를 선택했다면, 그 악한 참가자가 밤에 죽습니다.","능력을 사용할지 물어보세요. 사용하길 원한다면, 참가자 한 명을 선택하도록 합니다. 다른 정보는 알려주지 마세요. 선한 참가자를 선택했다면, 그들은 밤에 죽습니다. 악한 참가자를 선택했다면, 그 악한 참가자가 밤에 죽습니다.
","해변가 승부, 능력 없음",,,,,
beach_barbieontheclocktower123dgeewes,,해변가,minion,barbie,매일 밤 참가자 한명을 고릅니다. 해당 참가자는 황혼까지 산만해집니다.,"참가자가 누군가를 선택하면 그 사람은 산만해집니다. 해당 참가자에게 산만함 토큰을 추가하세요.
","참가자가 누군가를 선택하면 그 사람은 산만해집니다. 해당 참가자에게 산만함 토큰을 추가하세요.
",산만함,,,,,
bratz_barbieontheclocktower123dgeewes,,브랫츠,minion,barbie,"매일 밤* 4명의 참가자를 고릅니다. 만약 네명 모두 다음 날 처형에 투표한다면, 넷 중 한명이 처형됩니다.",,"브라츠를 깨워서 4명의 참가자를 선택하도록 하세요. 알림으로 이 참가자들에게 ""선택된"" 브라츠 토큰을 놓으세요.
","선택됨, 선택됨, 선택됨, 선택됨, 투표함, 투표함, 투표함, 투표함, 처형됨",,,,,
colinfirth_barbieontheclocktower123dgeewes,,콜린 퍼스,,barbie,당신과 이웃하는 참가자 중 한명 또는 둘 다 산만해질 수 있습니다.,,,산만,,,,,
cripplinganxiety_barbieontheclocktower123dgeewes,,극심한 불안,,barbie,당신은 가부장제가 게임에 존재하는지 여부를 알고 게임을 시작합니다,예/아니오로 가부장제가 게임에 있는지 알려주세요,,,,,,,
deaththoughts_barbieontheclocktower123dgeewes,,떨쳐낼 수 없는 죽음에 대한 생각,,barbie,"매일 밤* 세 명까지 참가자를 고릅니다. 선택한 각 참가자별로 사회자는 동전을 던집니다. 앞면이 나올 경우 살고, 뒷면이 나올 경우 죽습니다.",,"""죽음""이 3명의 참가자를 선택하면 다시 잠들게 합니다. 스토리텔러는 비밀리에 (동전 던지기 등을 통해) 선택된 각 참가자의 생사를 결정합니다. 살아남는다면 죽음은 그 밤에 해당 참가자에게 아무 영향도 주지 않았던 것입니다.","선택됨, 승리, 승리, 승리, 패배, 패배, 패배",,,,,
diplomatbarbie_barbieontheclocktower123dgeewes,,외교관 바비,,barbie,"밤에 죽는다면 바비, 켄, 외지인, 하수인, 악마를 각각 한명씩 지명받습니다.",,"외교관 바비가 밤 단계에서 죽었다면, 그들을 깨우고 5개의 이름을 알려주세요. 이 이름들은 각각 바비, 켄, 아웃사이더, 하수인, 악마 중 하나입니다. 어떤 이름이 어떤 역할인지는 알려주지 마세요. 스토리텔러의 재량에 따라 죽은 참가자의 이름도 포함될 수 있습니다.
","바비, 켄, 외지인, 하수인, 악마",,,,,
gloria_barbieontheclocktower123dgeewes,,글로리아,,barbie,매일 밤*에 낮동안 살아있고 이웃한 참가자 두명과 모두 밀담을 나누었다면 해당 참가자들이 모두 마을주민인지 여부를 알게 됩니다.,,"글로리아가 낮 단계에서 자신의 살아있는 양 옆 이웃과 개별적으로 대화를 나눴다면, 글로리아를 깨우고 두 참가자가 모두 마을주민인지 여부를 예/아니오로 알려주세요.
",대화함,,,,,
helenmirren_barbieontheclocktower123dgeewes,,헬렌 미렌,,barbie,"매일 밤* 당신 이외의 참가자를 지명하고, 보호할지 처형할지 결정합니다. 타 참가자들은 이에 대해 투표를 진행하나, 보호인지 처형인지 여부는 모릅니다.
당신이 악마를 지명한다면, 악마는 당신이 누군지 알게 됩니다. 능력 발동이 3회 실패하면 당신은 죽습니다. (투표를 3회 실패하면)",,"참가자에게 능력을 사용할지 물어보세요. 사용하길 원한다면, 누구를 선택할지와 그 참가자를 처형할지 보호할지를 물어보세요. 스토리텔러는 그 후 다른 모든 참가자(죽은 캐릭터 포함)를 개별적으로 방문하여 단순히 그 참가자의 이름을 말하고 ""예/아니오"" 응답을 요청합니다. 과반수의 참가자가 ""예""라고 하면, 선택된 참가자는 원래 참가자의 결정에 따라 보호되거나 처형됩니다. 보호받은 경우, 다음날 해질녘까지 어떤 참가자도 그 참가자를 성공적으로 타겟팅할 수 없습니다. 보호된 경우 해당 참가자에게 ""보호됨"" 토큰을 추가하세요.
","실패 1, 실패 2, 실패 3, 보호됨, 처형됨",,,,,
internettroll_barbieontheclocktower123dgeewes,,인터넷 트롤,,barbie,매일 밤* 2명의 참가자를 고릅니다. 두 참가자 중 한명 또는 둘 다 상심합니다. 당신은 악 팀이 누군지 모르고 게임을 시작합니다.,,"트롤에게 2명의 참가자를 선택하도록 하세요. 스토리텔러는 (자신의 재량으로) 선택된 참가자들 중 한 명 또는 둘 모두에게 상심을 줄지 결정합니다. 한 명에게만 준다면, 누구에게 줄지도 결정합니다. 해당 참가자(들)에게 트롤 상심 토큰을 추가하세요.
",상심,,,,,
justken_barbieontheclocktower123dgeewes,,그냥 켄,,barbie,"양옆에 앉은 바비가 밤에 죽으면, 당신이 대신 죽을 수 있습니다. 고정관념적 바비가 살아있는 동안에는 당신이 처형될 수 없습니다. 고정관념적 바비가 밤에 사망하면, 당신은 자신이 누구인지 잊고 기억상실자가 됩니다.",,"고정관념적 바비가 밤 단계에서 죽었다면, ""그냥 켄""을 깨워서 그가 자신의 정체성을 잃고 기억상실자가 되었음을 알립니다. 직후 새로운 능력의 기억상실자로 취급합니다.",능력없음,,,,,
kenagain_barbieontheclocktower123dgeewes,,돌아온 켄,,barbie,매일 공개적으로 사랑 / 브로맨스를 3명의 참가자에게 선언합니다. 그날 밤 해당 참가자 중 몇명이 바비/켄이였는지 알게 됩니다.,,"켄을 깨우고 선택한 참가자들 중 몇 명이 바비/켄인지 알려주세요(1,2,3) - 그들이 바비 또는 켄 중 어느 쪽을 선언했는지 기억하세요.
","켄 선택됨, 바비 선택됨",,,,,
mattelceo_barbieontheclocktower123dgeewes,,마텔 CEO,,barbie,"당신은 선팀 마을주민으로 인식됩니다. 악마가 죽는다면 당신이 악마가 되며, 더이상 선팀으로 인식되지 않습니다.
당신이 악마가 된 이후로 처형이 발생되지 않을 시, 악팀이 승리합니다.",,,악마임,,,,,
midgesbaby_barbieontheclocktower123dgeewes,,밋지의 아기,,barbie,당신은 게임에 참가하지 않은 하수인이나 마을주민의 능력을 얻습니다. (초기 설정 불가),,,,,,,,
mojodojocasa_barbieontheclocktower123dgeewes,,모조 도조 카사 하우스,,barbie,당신이 사망한다면 살아있는 켄 중 한명은 상심합니다.,,,상심,,,,,
pregnantmidge_barbieontheclocktower123dgeewes,,임신한 밋지,,barbie,"다른 사람에게 지정될 경우 (지명, 능력 등) 당신은 출산하며, 밋지의 아기가 됩니다. 당신이 처형된다면 죽지 않으며, 그날 밤 밋지의 아기가 됩니다. 밋지의 아기는 당신을 지정한 캐릭터의 진영으로 태어납니다.",,"밋지가 낮 단계에서 처형 후보로 지명되었거나 밤 단계에서 다른 참가자에 의해 선택되었다면, 밋지를 깨우고 이제 ""아기""가 되었음을 알려주세요. 해당 참가자에게 ""아기"" 알림 토큰을 추가하세요. 밋지를 선택한 참가자의 진영에 따라 하수인이나 마을주민 역할을 부여하세요. 앞으로의 밤에는 새로운 능력에 따라 깨어날 것입니다. 임신한 밋지가 지명되거나 선택되지 않았다면, 밤에 깨우지 않습니다. 만약 악한 아기가 된다면, 악마를 깨워서 새로운 하수인이 생겼음을 알립니다. 악마는 새로운 하수인이 누구인지 모릅니다. 악한 아기는 악한 팀의 누구도 알지 못합니다.
",아기,,,,,
presidentbarbie_barbieontheclocktower123dgeewes,,대통령 바비,,barbie,매일 밤 어제와 다른 참가자를 고릅니다. 해당 참가자의 투표는 두배로 계산됩니다.,"이 참가자를 깨우고 참가자 한 명을 선택하도록 하세요(이전 밤에 선택했던 참가자와 달라야 합니다). 선택된 참가자에게 ""투표권 x2"" 알림 토큰을 추가하세요.
","이 참가자를 깨우고 참가자 한 명을 선택하도록 하세요(이전 밤에 선택했던 참가자와 달라야 합니다). 선택된 참가자에게 ""투표권 x2"" 알림 토큰을 추가하세요.
",투표권 x2,,,,,
ruthhandler_barbieontheclocktower123dgeewes,,루스 핸들러,,barbie,게임 내 몇명의 바비가 있는지 알고 게임을 시작합니다.,"참가자에게 게임에 등장하는 ""바비"" 캐릭터의 수를 알려주세요(임신한 미지 포함)
",,,,,,,
stereotypicalb_barbieontheclocktower123dgeewes,,고정관념적 바비,,barbie,매일 밤* 참가자를 고릅니다. 선택한 참가자의 살아있는 이웃 중 그 참가자의 캐릭터와 같은 타입이 몇명인지 알게 됩니다.,"참가자 한 명을 선택하도록 하세요. 선택된 참가자의 옆자리에 같은 캐릭터 유형(마을주민/아웃사이더/하수인/악마)의 참가자가 0, 1, 2명 앉아있는지 알려주세요.
","참가자 한 명을 선택하도록 하세요. 선택된 참가자의 옆자리에 같은 캐릭터 유형(마을주민/아웃사이더/하수인/악마)의 참가자가 0, 1, 2명 앉아있는지 알려주세요.
","생존, 선택됨",,,,,
sugar_barbieontheclocktower123dgeewes,,슈가,,barbie,"악팀은 게임 당 한번 슈가가 누군지 선언할 수 있습니다. 만약 악이 성공적으로 선언한다면, 악팀은 이깁니다.
만약 슈가대디가 맞춘다면, 선 팀이 이깁니다. 당신이 죽는다면 다른 참가자가 슈가가 되며, 해당 참가자는 산만해집니다.
악팀은 당신이 게임에 포함되었는지 여부를 알지 못하고 시작합니다 [+1 슈가대디]",,,슈가임,,,,,
sugarsdaddy_barbieontheclocktower123dgeewes,,슈가대디,,barbie,"게임 중 한번, 한 캐릭터를 고릅니다. 해당 참가자가 슈가라면 당신의 팀은 승리합니다. 당신은 슈가가 될 수 없습니다. (+1 슈가)",,,"선택됨, 능력없음",,,,,
thepatriarchy_barbieontheclocktower123dgeewes,,가부장제,,barbie,"매일 밤* 참가자 한명을 고릅니다. 해당 참가자는 사망합니다.
투표를 진행할 때 켄의 투표가 과반수를 차지한다면 악팀이 승리합니다. 이 능력은 5명 미만의 참가자만 살아있을 시 사라집니다 [+1 켄]",,"가부장제를 깨워서 누구를 죽일지 물어보세요. 그 참가자는 죽습니다.
","투표함, 투표함, 투표함, 투표함, 투표함, 투표함, 투표함, 투표함, 투표함, 투표함",,,,,
theportal_barbieontheclocktower123dgeewes,,포탈,,barbie,"매일 밤 두명의 참가자를 선택합니다. 둘 중 한명이 외지인이라면, 두 참가자는 서로 역할을 바꿉니다 [+1 외지인]","2명의 참가자를 선택하세요. 선택된 참가자 중 한 명이 아웃사이더라면, 스토리텔러는 그 참가자들의 역할을 바꿉니다. 포털은 자신이 성공적으로 바꾸었는지 알지 못합니다.","2명의 참가자를 선택하세요. 선택된 참가자 중 한 명이 아웃사이더라면, 스토리텔러는 그 참가자들의 역할을 바꿉니다. 포털은 자신이 성공적으로 바꾸었는지 알지 못합니다.
",선택됨,,,,,
therealworld_barbieontheclocktower123dgeewes,,현실 세계,,barbie,"사회자 재량으로 모든 죽음을 결정합니다. 모든 하수인은 '현실 세계'로 취급되며, 선팀의 승리 조건은 '모든 현실세계의 사망'으로 바뀝니다 [+1 하수인]",,"누군가를 죽이기 위해 참가자를 선택하세요. 어떤 캐릭터도 깨울 필요가 없습니다. 현재 생존해 있는 ""리얼 월드"" 수만큼 최대 참가자를 죽일 수 있습니다. 죽을 참가자의 수와 누가 죽을지는 스토리텔러의 재량입니다.","현실 세계, 현실 세계, 현실 세계, 현실 세계",,,,,
weirdbarbie_barbieontheclocktower123dgeewes,,이상한 바비,,barbie,"당신이 살아있는 한, 모든 바비의 능력은 제대로 작동합니다. (제대로 작동하면 안되더라도)",,,"생존, 능력 없음",,,,,
